Benchmark,Size_Before,Size_After,Haploid_Time,Z3_Time_Before,Z3_Time_After,Z3_Speedup
/QF_BV/bruttomesso/simple_processor/simple_processors_008_002_0016.smt2,7587,8169,0.02370953606441617,0.0025668698363006115,0.0025319778360426426,0.09781713989663271
/QF_BV/bruttomesso/simple_processor/simple_processors_008_003_0004.smt2,10741,10741,0.04632624005898833,0.0026218011043965816,0.0024529160000383854,0.05374839001363596
/QF_BV/bruttomesso/simple_processor/simple_processors_006_006_0032.smt2,17243,17243,0.042126058135181665,0.0026541431434452534,0.0024225939996540546,0.05957852855821405
/QF_BV/bruttomesso/simple_processor/simple_processors_008_008_0016.smt2,28323,28323,0.086518962867558,0.0024481648579239845,0.0024545048363506794,0.027515673167546266
/QF_BV/bruttomesso/simple_processor/simple_processors_004_003_0016.smt2,6949,7327,0.03257199889048934,0.002462285105139017,0.002494115848094225,0.07021836104442282
/QF_BV/bruttomesso/simple_processor/simple_processors_006_005_0004.smt2,14229,14229,0.04108118778094649,0.0024635852314531803,0.0025793490931391716,0.05642590329473067
/QF_BV/bruttomesso/simple_processor/simple_processors_008_005_0016.smt2,17673,17673,0.043178980238735676,0.0024414840154349804,0.0024041528813540936,0.053561127731234205
/QF_BV/bruttomesso/simple_processor/simple_processors_008_002_0004.smt2,7511,8081,0.024247398134320974,0.0023935730569064617,0.0024182526394724846,0.08976240922118518
/QF_BV/bruttomesso/simple_processor/simple_processors_008_003_0008.smt2,10747,10747,0.04826294491067529,0.0024809064343571663,0.0024756863713264465,0.04889580920242927
/QF_BV/bruttomesso/simple_processor/simple_processors_006_003_0008.smt2,8825,9382,0.041533065028488636,0.0024982262402772903,0.0025468776002526283,0.05667489772657694
/QF_BV/bruttomesso/simple_processor/simple_processors_008_003_0032.smt2,10869,10869,0.046642113011330366,0.002528927754610777,0.002410382963716984,0.051555536662134874
/QF_BV/bruttomesso/simple_processor/simple_processors_006_002_0016.smt2,6253,6661,0.020403818693012,0.002438964322209358,0.0024309037253260612,0.10680945787414871
/QF_BV/bruttomesso/simple_processor/simple_processors_008_005_0008.smt2,17511,17511,0.046697324607521296,0.002450845204293728,0.0025985008105635643,0.04971709436869681
/QF_BV/bruttomesso/simple_processor/simple_processors_006_005_0032.smt2,14383,14383,0.04241192899644375,0.00249581690877676,0.0026300521567463875,0.05541090433585406
/QF_BV/bruttomesso/simple_processor/simple_processors_008_005_0032.smt2,17709,17709,0.045815270859748125,0.0024290443398058414,0.0024389238096773624,0.050338511635029254
/QF_BV/bruttomesso/simple_processor/simple_processors_006_002_0004.smt2,6203,6617,0.01980428583920002,0.0024505751207470894,0.002606491092592478,0.10934806625426008
/QF_BV/bruttomesso/simple_processor/simple_processors_002_002_0032.smt2,3615,3676,0.017041767947375774,0.002551259007304907,0.0024012429639697075,0.131217280026119
/QF_BV/bruttomesso/simple_processor/simple_processors_008_003_0016.smt2,10849,10849,0.04348298069089651,0.00260485103353858,0.0024832459166646004,0.05666880285339978
/QF_BV/bruttomesso/core/ext_con_048_001_0128.smt2,9701,9701,0.033673602156341076,0.002408163156360388,0.0023771622218191624,0.066799225977557
/QF_BV/bruttomesso/core/ext_con_004_004_0016.smt2,3240,3202,0.03174334717914462,0.002433793619275093,0.0025405781343579292,0.0709893513365156
/QF_BV/bruttomesso/core/ext_con_004_001_0512.smt2,1129,1129,0.026806795969605446,0.002318260259926319,0.00243186391890049,0.07928750047937917
/QF_BV/bruttomesso/core/ext_con_036_002_0032.smt2,13453,13423,0.0485749370418489,0.0025896509177982807,0.00278905825689435,0.05041763014610437
/QF_BV/bruttomesso/core/ext_con_020_128_0512.smt2,454438,454318,0.594812239985913,0.002405474428087473,0.002466754987835884,0.004027388286429186
/QF_BV/bruttomesso/core/ext_con_008_032_0512.smt2,46685,45221,0.1158097549341619,0.002428073901683092,0.0024033733643591404,0.020539799061501274
/QF_BV/bruttomesso/core/ext_con_040_016_0256.smt2,111164,110924,0.12523484090343118,0.0024362741969525814,0.0023830323480069637,0.019090383931978955
/QF_BV/bruttomesso/core/ext_con_040_001_0032.smt2,8009,8009,0.04331463482230902,0.002675063908100128,0.0026318510062992573,0.058221295053527626
/QF_BV/bruttomesso/core/ext_con_060_002_0032.smt2,22189,22039,0.07342544803395867,0.002389711793512106,0.0025918208993971348,0.03143643315582886
