Benchmark,Size_Before,Size_After,Haploid_Time,Z3_Time_Before,Z3_Time_After,Z3_Speedup,Z3_Speedup_with_Haploid,Result_Before,Result_After
/QF_BV/bruttomesso/core/ext_con_040_008_0064.smt2,54266,52890,0.20425352826714516,0.17169425264000893,0.17307148687541485,0.9920423966982076,0.45503013516116825,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_040_002_0256.smt2,15518,15486,0.1088349549099803,1.3409543316811323,1.0529772210866213,1.2734884523877283,1.1541920108823638,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_032_004_0512.smt2,23494,22992,0.13180613331496716,3.3501855451613665,2.9068548437207937,1.1525121567037404,1.1025203438224624,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_012_016_0512.smt2,34568,33532,0.1681913249194622,0.4673119504004717,0.2147757662460208,2.1758132147235663,1.2202404884928941,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_040_004_0032.smt2,27864,27244,0.1591406324878335,0.07519762963056564,0.09604296367615461,0.7829582381914313,0.29468049969105986,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_028_004_0032.smt2,19644,19336,0.1346376147121191,0.05335978604853153,0.055560722947120667,0.960386820367981,0.2805481199532415,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_008_016_0128.smt2,22833,22128,0.1646694876253605,0.048812597058713436,0.03706340957432985,1.3170023378669695,0.24196647020042086,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_028_002_0512.smt2,11111,11050,0.12097479030489922,2.6848167572170496,2.2643902581185102,1.185668745743445,1.1255370573118613,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_020_004_0512.smt2,14866,14653,0.09759807586669922,1.8379784561693668,0.7575550666078925,2.4261978266468347,2.149297435604029,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_020_128_1024.smt2,457226,457106,0.819635882973671,5.0384283205494285,4.945923928171396,1.0187031571292753,0.8738836271908821,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_004_001_0256.smt2,1123,1123,0.1448434814810753,0.02806470636278391,0.02921578288078308,0.960600866911689,0.16123649876193394,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_028_008_0064.smt2,38198,37152,0.1601090794429183,0.1140790581703186,0.10436934977769852,1.0930321824683327,0.4313359637929437,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_060_001_0256.smt2,12354,12354,0.13304982148110867,2.537748321890831,2.538304223679006,0.9997809948141798,0.9499857671388235,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_048_001_1024.smt2,10090,10090,0.11980741284787655,25.325237264856696,25.141428153030574,1.0073110051945862,1.0025335933712085,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_052_016_0128.smt2,141304,140992,0.34284678753465414,0.6697006998583674,0.6756052114069462,0.9912604114816068,0.6575672693011908,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_040_004_0128.smt2,28471,27851,0.15939251892268658,0.4569320250302553,0.41587844118475914,1.0987153451103218,0.7942900940887269,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_040_004_1024.smt2,29529,28909,0.15998131036758423,20.144728842191398,11.627282002940774,1.732539800539489,1.709025098255596,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_056_001_0016.smt2,10873,10873,0.12464374955743551,0.07543881796300411,0.07744523417204618,0.9740924508719958,0.3732950533512864,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_040_128_1024.smt2,905646,905406,1.2744437400251627,25.69232594501227,25.703490163199604,0.999565653609045,0.9523459445477097,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_016_004_0064.smt2,11475,11603,0.12454612366855145,0.05789364222437143,0.04571928549557924,1.2662849298020935,0.3400199870812498,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_060_001_0016.smt2,11629,11629,0.132679701782763,0.087337801232934,0.08644696604460478,1.0103049907832458,0.39857221441317403,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_064_002_0064.smt2,23901,23870,0.1614738954231143,0.373221137560904,0.3645532364025712,1.023776777416292,0.7095092914039685,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_060_002_1024.smt2,23584,23434,0.16293461341410875,30,30,1.0,0.9945981843112291,timeout,timeout
/QF_BV/bruttomesso/core/ext_con_004_001_0064.smt2,1092,1092,0.14530945289880037,0.01929392386227846,0.018996900878846645,1.0156353389074402,0.11742652319087185,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_036_064_0256.smt2,399025,398809,0.7421457562595606,1.21491545625031,1.2223897250369191,0.9938855271493848,0.6184237789630229,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_004_001_0016.smt2,1070,1070,0.14715789631009102,0.015361269935965538,0.01573245506733656,0.9764064076596876,0.09430435753909372,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_012_016_0128.smt2,33544,32508,0.1728860391303897,0.09276606235653162,0.05491945333778858,1.6891293834620493,0.40721609190125185,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_036_004_0064.smt2,25235,24677,0.1481912350282073,0.15523414127528667,0.15276792459189892,1.0161435503557175,0.5157980287798356,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_024_001_0064.smt2,4947,4947,0.1442968938499689,0.08801879733800888,0.08748889621347189,1.006056781459947,0.379741990714434,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_052_002_0064.smt2,19485,19460,0.13921359460800886,0.2527388669550419,0.22040407452732325,1.1467068723528073,0.702798801746114,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_048_032_0512.smt2,267836,267548,0.6443386059254408,6.67357812076807,6.59843903966248,1.0113874024832141,0.9214114318190356,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_016_256_1024.smt2,739483,739387,1.2036639209836721,1.9224752327427268,1.9263592949137092,0.9979837291094981,0.6142047838426499,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_008_004_0512.smt2,6255,6155,0.1489056022837758,0.08529006876051426,0.12495651841163635,0.6825579797249839,0.31143433982012203,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_048_008_0256.smt2,67257,68771,0.23713121749460697,1.9146693581715226,1.4729518927633762,1.2998858737873977,1.1196352660793636,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_044_001_1024.smt2,9274,9274,0.12349397130310535,25.637407086789608,25.575746417045593,1.002410904015803,0.9975939638438838,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_032_008_0128.smt2,44173,42973,0.18407212384045124,0.33812772762030363,0.299597873352468,1.1286052328632734,0.6990876622132841,unsat,unsat
